date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:30	44720/44720	---M--	200	added ('OK')	text/html	etag:%222f627db-aeb0-5578bd625285e%22	http://uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.woff2	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.html	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons.min.css)
13:19:12	369/369	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:10%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.eot	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.56.delayed	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:12	369/369	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:10%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.eot?	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfontd41d.eot	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:12	371/371	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:11%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.woff2	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.woff2	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:13	370/370	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:11%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.woff	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.woff	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:13	369/369	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:11%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.ttf	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.ttf	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:14	369/369	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:11%20GMT	http://uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.svg	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font/weathericons-regular-webfont.svg	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons-wind.min.css)
13:19:14	1552/1552	---M--	200	added ('OK')	image/png	etag:%222f6274f-610-5594778a392bd%22	http://uxliner.com/ovio/demo/dist/img/logo.png	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/img/logo.png	(from http://uxliner.com/ovio/demo/)
13:19:14	343/343	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:13%20GMT	http://uxliner.com/ovio/demo/app/weather.html	D:/WAMP/ovio/uxliner.com/ovio/demo/app/weather.5c.delayed	(from http://uxliner.com/ovio/demo/index-rtl.html)
13:19:15	345/345	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2010:19:13%20GMT	http://uxliner.com/ovio/demo/todo-tasklist.html	D:/WAMP/ovio/uxliner.com/ovio/demo/todo-tasklist.html	(from http://uxliner.com/ovio/demo/index-rtl.html)
